,Symbol,canonicalName,DEGREE,Gene,id,MCODE_CLUSTER_ID,MCODE_SCORE,MCODE_TYPE,name,selected,cd11b
1,AATF,AATF,5,26574,26574,4,3.285714286,Clustered,26574,FALSE,0.631434323
2,ANAPC1,ANAPC1,8,64682,64682,1,4.617647059,Clustered,64682,FALSE,0.541504509
3,ANAPC5,ANAPC5,7,51433,51433,1,4.617647059,Clustered,51433,FALSE,1.375380766
4,ARID1A,ARID1A,3,8289,8289,10,1.6,Clustered,8289,FALSE,1.052189297
5,ATIC,ATIC,3,471,471,4,3.285714286,Clustered,471,FALSE,1.232103799
6,BCL7B,BCL7B,3,9275,9275,6,2.047619048,Clustered,9275,FALSE,1.299337106
7,BMS1,BMS1,46,9790,9790,3,19.5106383,Clustered,9790,FALSE,0.792347654
8,BYSL,BYSL,37,705,705,3,19.5106383,Clustered,705,FALSE,0.905286482
9,CASC3,CASC3,3,22794,22794,8,1.777777778,Seed,22794,FALSE,0.620083252
10,CBFB,CBFB,4,865,865,10,1.6,Seed,865,FALSE,1.224079826
11,CCNC,CCNC,19,892,892,1,4.617647059,Clustered,892,FALSE,1.078348502
12,CCNH,CCNH,7,902,902,1,4.617647059,Clustered,902,FALSE,1.165442207
13,CDC7,CDC7,6,8317,8317,1,4.617647059,Clustered,8317,FALSE,0.661251801
14,CDK7,CDK7,8,1022,1022,1,4.617647059,Clustered,1022,FALSE,1.9672574
15,CEBPZ,CEBPZ,5,10153,10153,4,3.285714286,Clustered,10153,FALSE,0.542554192
16,CENPE,CENPE,4,1062,1062,5,2.264705882,Clustered,1062,FALSE,0.863970879
17,CENPT,CENPT,4,80152,80152,5,2.264705882,Clustered,80152,FALSE,0.79473441
18,CHEK2,CHEK2,11,11200,11200,4,3.285714286,Clustered,11200,FALSE,0.836182642
19,CLNS1A,CLNS1A,2,1207,1207,12,1,Clustered,1207,FALSE,1.060993305
20,CLSPN,CLSPN,4,63967,63967,5,2.264705882,Clustered,63967,FALSE,0.750721988
21,CNOT1,CNOT1,2,23019,23019,7,1.1,Seed,23019,FALSE,0.995645545
22,CNOT3,CNOT3,4,4849,4849,7,1.1,Clustered,4849,FALSE,2.087944259
23,COG3,COG3,10,83548,83548,1,4.617647059,Clustered,83548,FALSE,0.818244678
24,COG6,COG6,11,57511,57511,1,4.617647059,Clustered,57511,FALSE,0.526085996
25,COG7,COG7,10,91949,91949,1,4.617647059,Clustered,91949,FALSE,0.604745389
26,COG8,COG8,10,84342,84342,1,4.617647059,Clustered,84342,FALSE,1.032547651
27,CTPS1,CTPS1,3,1503,1503,6,2.047619048,Clustered,1503,FALSE,1.37229928
28,CYB5B,CYB5B,2,80777,80777,7,1.1,Clustered,80777,FALSE,0.591425987
29,DCTN1,DCTN1,11,1639,1639,1,4.617647059,Clustered,1639,FALSE,0.7279763
30,DCTN3,DCTN3,11,11258,11258,1,4.617647059,Clustered,11258,FALSE,0.986632644
31,DCTN6,DCTN6,10,10671,10671,1,4.617647059,Clustered,10671,FALSE,0.786542394
32,DDX10,DDX10,5,1662,1662,8,1.777777778,Clustered,1662,FALSE,0.523231758
33,DDX11,DDX11,3,1663,1663,5,2.264705882,Clustered,1663,FALSE,0.582195411
34,DDX21,DDX21,8,9188,9188,5,2.264705882,Clustered,9188,FALSE,0.771627305
35,DDX27,DDX27,3,55661,55661,5,2.264705882,Clustered,55661,FALSE,0.846427885
36,DDX56,DDX56,5,54606,54606,8,1.777777778,Clustered,54606,FALSE,1.046626946
37,DHX37,DHX37,41,57647,57647,3,19.5106383,Clustered,57647,FALSE,1.393760765
38,DKC1,DKC1,8,1736,1736,2,11.75510204,Clustered,1736,FALSE,1.511854007
39,DPF2,DPF2,3,5977,5977,6,2.047619048,Clustered,5977,FALSE,0.967696776
40,DYNC1H1,DYNC1H1,10,1778,1778,1,4.617647059,Clustered,1778,FALSE,0.631629835
41,DYNC1I2,DYNC1I2,11,1781,1781,1,4.617647059,Clustered,1781,FALSE,0.869731822
42,DYNC1LI1,DYNC1LI1,10,51143,51143,1,4.617647059,Clustered,51143,FALSE,0.538679633
43,E2F1,E2F1,2,1869,1869,11,1,Clustered,1869,FALSE,1.023113108
44,ECSIT,ECSIT,10,51295,51295,1,4.617647059,Clustered,51295,FALSE,0.712843336
45,EFTUD2,EFTUD2,39,9343,9343,2,11.75510204,Clustered,9343,FALSE,0.793057927
46,EHMT1,EHMT1,2,79813,79813,7,1.1,Clustered,79813,FALSE,1.011540782
47,EIF3H,EIF3H,2,8667,8667,1,4.617647059,Clustered,8667,FALSE,0.531252917
48,EIF4G1,EIF4G1,2,1981,1981,4,3.285714286,Clustered,1981,FALSE,0.853711078
49,EIF6,EIF6,2,3692,3692,8,1.777777778,Clustered,3692,FALSE,0.693005358
50,EP300,EP300,9,2033,2033,6,2.047619048,Clustered,2033,FALSE,1.374852386
51,ERAL1,ERAL1,26,26284,26284,2,11.75510204,Clustered,26284,FALSE,0.572206825
52,ERCC3,ERCC3,8,2071,2071,1,4.617647059,Clustered,2071,FALSE,0.702250848
53,ERH,ERH,2,2079,2079,12,1,Clustered,2079,FALSE,0.61746378
54,EXOSC10,EXOSC10,35,5394,5394,3,19.5106383,Clustered,5394,FALSE,1.462912839
55,EXOSC2,EXOSC2,31,23404,23404,3,19.5106383,Clustered,23404,FALSE,0.61176704
56,EXOSC3,EXOSC3,31,51010,51010,3,19.5106383,Clustered,51010,FALSE,0.583954457
57,EXOSC4,EXOSC4,31,54512,54512,3,19.5106383,Clustered,54512,FALSE,0.679772917
58,EXOSC5,EXOSC5,31,56915,56915,3,19.5106383,Clustered,56915,FALSE,0.577078822
59,EXOSC6,EXOSC6,31,118460,118460,3,19.5106383,Clustered,118460,FALSE,1.126717424
60,EZH2,EZH2,3,2146,2146,4,3.285714286,Clustered,2146,FALSE,0.589192178
61,FBXL19,FBXL19,10,54620,54620,1,4.617647059,Clustered,54620,FALSE,0.249674375
62,FCF1,FCF1,46,51077,51077,3,19.5106383,Clustered,51077,FALSE,0.990285692
63,FDPS,FDPS,2,2224,2224,4,3.285714286,Clustered,2224,FALSE,0.747786732
64,GAR1,GAR1,4,54433,54433,5,2.264705882,Clustered,54433,FALSE,1.155362205
65,GINS3,GINS3,4,64785,64785,6,2.047619048,Clustered,64785,FALSE,0.720988428
66,GINS4,GINS4,2,84296,84296,6,2.047619048,Clustered,84296,FALSE,0.793912401
67,GNL2,GNL2,6,29889,29889,4,3.285714286,Clustered,29889,FALSE,2.297392995
68,GNL3L,GNL3L,6,54552,54552,1,4.617647059,Seed,54552,FALSE,1.649474149
69,GNPAT,GNPAT,2,8443,8443,7,1.1,Clustered,8443,FALSE,0.515359911
70,GOT2,GOT2,2,2806,2806,5,2.264705882,Clustered,2806,FALSE,2.133093171
71,GPI,GPI,7,2821,2821,1,4.617647059,Clustered,2821,FALSE,1.087242477
72,GRSF1,GRSF1,26,2926,2926,2,11.75510204,Clustered,2926,FALSE,0.807796595
73,GTF2E1,GTF2E1,9,2960,2960,5,2.264705882,Clustered,2960,FALSE,1.048268313
74,GTF2E2,GTF2E2,5,2961,2961,6,2.047619048,Clustered,2961,FALSE,1.266740858
75,GTF2H4,GTF2H4,7,2968,2968,1,4.617647059,Clustered,2968,FALSE,0.754070435
76,HAUS1,HAUS1,8,115106,115106,4,3.285714286,Clustered,115106,FALSE,2.630111196
77,HAUS2,HAUS2,6,55142,55142,4,3.285714286,Clustered,55142,FALSE,0.638781124
78,HAUS3,HAUS3,6,79441,79441,4,3.285714286,Clustered,79441,FALSE,0.529911935
79,HAUS5,HAUS5,6,23354,23354,4,3.285714286,Clustered,23354,FALSE,0.728254468
80,IMP3,IMP3,46,55272,55272,3,19.5106383,Clustered,55272,FALSE,0.806146889
81,IMP4,IMP4,45,92856,92856,3,19.5106383,Clustered,92856,FALSE,0.53389207
82,INTS4,INTS4,6,92105,92105,5,2.264705882,Clustered,92105,FALSE,0.584633978
83,INTS9,INTS9,6,55756,55756,5,2.264705882,Clustered,55756,FALSE,0.835227794
84,IPO7,IPO7,3,10527,10527,9,1.333333333,Clustered,10527,FALSE,1.568065664
85,KAT2A,KAT2A,5,2648,2648,6,2.047619048,Clustered,2648,FALSE,3.888788852
86,KIF11,KIF11,2,3832,3832,9,1.333333333,Clustered,3832,FALSE,0.971874051
87,KMT2A,KMT2A,2,4297,4297,10,1.6,Clustered,4297,FALSE,3.003868277
88,KPNA2,KPNA2,6,3838,3838,6,2.047619048,Clustered,3838,FALSE,1.030163254
89,KPNB1,KPNB1,2,3837,3837,6,2.047619048,Clustered,3837,FALSE,1.366256057
90,KRR1,KRR1,46,11103,11103,3,19.5106383,Clustered,11103,FALSE,0.641319896
91,LSM2,LSM2,21,57819,57819,2,11.75510204,Clustered,57819,FALSE,1.02137126
92,LSM6,LSM6,21,11157,11157,2,11.75510204,Clustered,11157,FALSE,0.710717405
93,LSM7,LSM7,20,51690,51690,2,11.75510204,Clustered,51690,FALSE,0.953402315
94,LTV1,LTV1,34,84946,84946,3,19.5106383,Clustered,84946,FALSE,1.319498159
95,MAK16,MAK16,3,84549,84549,8,1.777777778,Clustered,84549,FALSE,0.947250678
96,MAML1,MAML1,2,9794,9794,6,2.047619048,Clustered,9794,FALSE,0.810363251
97,MAPK14,MAPK14,2,1432,1432,7,1.1,Clustered,1432,FALSE,0.63278106
98,MCM2,MCM2,9,4171,4171,4,3.285714286,Clustered,4171,FALSE,1.657110824
99,MCM3,MCM3,10,4172,4172,4,3.285714286,Clustered,4172,FALSE,1.495795344
100,MCM4,MCM4,7,4173,4173,1,4.617647059,Clustered,4173,FALSE,0.63258228
101,MCM5,MCM5,8,4174,4174,1,4.617647059,Clustered,4174,FALSE,0.89649655
102,MDM2,MDM2,6,4193,4193,6,2.047619048,Clustered,4193,FALSE,0.684162779
103,MDN1,MDN1,4,23195,23195,1,4.617647059,Clustered,23195,FALSE,1.47008954
104,MED11,MED11,12,400569,400569,1,4.617647059,Clustered,400569,FALSE,0.540188704
105,MED12,MED12,13,9968,9968,1,4.617647059,Clustered,9968,FALSE,1.647832136
106,MED14,MED14,17,9282,9282,1,4.617647059,Clustered,9282,FALSE,0.812208775
107,MED16,MED16,13,10025,10025,1,4.617647059,Clustered,10025,FALSE,2.00302667
108,MED18,MED18,11,54797,54797,1,4.617647059,Clustered,54797,FALSE,0.648857458
109,MED19,MED19,16,219541,219541,1,4.617647059,Clustered,219541,FALSE,0.84164959
110,MED23,MED23,13,9439,9439,1,4.617647059,Clustered,9439,FALSE,1.542081861
111,MED24,MED24,13,9862,9862,1,4.617647059,Clustered,9862,FALSE,0.934888746
112,MED25,MED25,12,81857,81857,1,4.617647059,Clustered,81857,FALSE,1.15881625
113,MED4,MED4,14,29079,29079,1,4.617647059,Clustered,29079,FALSE,0.723956385
114,MED8,MED8,13,112950,112950,1,4.617647059,Clustered,112950,FALSE,0.545876281
115,MEF2C,MEF2C,2,4208,4208,11,1,Clustered,4208,FALSE,0.61587106
116,METTL14,METTL14,2,57721,57721,4,3.285714286,Clustered,57721,FALSE,1.187257516
117,METTL17,METTL17,24,64745,64745,2,11.75510204,Clustered,64745,FALSE,0.523559606
118,MIS12,MIS12,3,79003,79003,5,2.264705882,Clustered,79003,FALSE,0.795226828
119,MLLT1,MLLT1,3,4298,4298,5,2.264705882,Clustered,4298,FALSE,0.726413272
120,MPHOSPH10,MPHOSPH10,46,10199,10199,3,19.5106383,Clustered,10199,FALSE,0.92013443
121,MPHOSPH6,MPHOSPH6,31,10200,10200,3,19.5106383,Seed,10200,FALSE,0.525326485
122,MRPL10,MRPL10,25,124995,124995,2,11.75510204,Clustered,124995,FALSE,1.088487165
123,MRPL11,MRPL11,27,65003,65003,2,11.75510204,Clustered,65003,FALSE,0.588797471
124,MRPL17,MRPL17,26,63875,63875,2,11.75510204,Clustered,63875,FALSE,0.543308975
125,MRPL18,MRPL18,25,29074,29074,2,11.75510204,Clustered,29074,FALSE,0.742171515
126,MRPL22,MRPL22,26,29093,29093,2,11.75510204,Clustered,29093,FALSE,0.691440079
127,MRPL3,MRPL3,26,11222,11222,2,11.75510204,Clustered,11222,FALSE,0.584533375
128,MRPL33,MRPL33,24,9553,9553,2,11.75510204,Clustered,9553,FALSE,1.184835977
129,MRPL34,MRPL34,23,64981,64981,2,11.75510204,Clustered,64981,FALSE,1.351484821
130,MRPL37,MRPL37,25,51253,51253,2,11.75510204,Clustered,51253,FALSE,0.625157228
131,MRPL43,MRPL43,25,84545,84545,2,11.75510204,Clustered,84545,FALSE,0.625695046
132,MRPL46,MRPL46,26,26589,26589,2,11.75510204,Clustered,26589,FALSE,0.697459722
133,MRPS11,MRPS11,29,64963,64963,3,19.5106383,Clustered,64963,FALSE,0.795813706
134,MRPS15,MRPS15,29,64960,64960,3,19.5106383,Clustered,64960,FALSE,0.536529626
135,MRPS16,MRPS16,26,51021,51021,2,11.75510204,Clustered,51021,FALSE,0.610803795
136,MRPS17,MRPS17,25,51373,51373,2,11.75510204,Seed,51373,FALSE,1.229598325
137,MRPS18A,MRPS18A,24,55168,55168,2,11.75510204,Clustered,55168,FALSE,0.803575987
138,MRPS18B,MRPS18B,26,28973,28973,2,11.75510204,Clustered,28973,FALSE,0.648062836
139,MRPS21,MRPS21,26,54460,54460,2,11.75510204,Clustered,54460,FALSE,0.668501372
140,MRPS22,MRPS22,27,56945,56945,2,11.75510204,Clustered,56945,FALSE,0.590923475
141,MRPS23,MRPS23,27,51649,51649,2,11.75510204,Clustered,51649,FALSE,0.934947267
142,MRPS31,MRPS31,26,10240,10240,2,11.75510204,Clustered,10240,FALSE,0.949079794
143,MRPS33,MRPS33,26,51650,51650,2,11.75510204,Clustered,51650,FALSE,1.045302744
144,MRPS35,MRPS35,27,60488,60488,2,11.75510204,Clustered,60488,FALSE,0.571609625
145,MRPS9,MRPS9,25,64965,64965,2,11.75510204,Clustered,64965,FALSE,0.926666127
146,MTHFD1,MTHFD1,12,4522,4522,4,3.285714286,Clustered,4522,FALSE,1.673287207
147,MYBBP1A,MYBBP1A,7,10514,10514,1,4.617647059,Clustered,10514,FALSE,0.636589541
148,MYC,MYC,20,4609,4609,2,11.75510204,Clustered,4609,FALSE,0.547035272
149,MYSM1,MYSM1,2,114803,114803,9,1.333333333,Clustered,114803,FALSE,0.631398442
150,NDUFA6,NDUFA6,10,4700,4700,1,4.617647059,Clustered,4700,FALSE,0.574935486
151,NDUFA8,NDUFA8,10,4702,4702,1,4.617647059,Clustered,4702,FALSE,1.490858221
152,NDUFA9,NDUFA9,10,4704,4704,1,4.617647059,Clustered,4704,FALSE,1.197430718
153,NDUFAF5,NDUFAF5,10,79133,79133,1,4.617647059,Clustered,79133,FALSE,0.710556358
154,NDUFB10,NDUFB10,10,4716,4716,1,4.617647059,Clustered,4716,FALSE,1.020971292
155,NDUFB2,NDUFB2,11,4708,4708,1,4.617647059,Clustered,4708,FALSE,0.978004271
156,NDUFB4,NDUFB4,10,4710,4710,1,4.617647059,Clustered,4710,FALSE,0.638938704
157,NDUFC2,NDUFC2,10,4718,4718,1,4.617647059,Clustered,4718,FALSE,0.687198723
158,NDUFS5,NDUFS5,10,4725,4725,1,4.617647059,Clustered,4725,FALSE,0.523970703
159,NDUFS8,NDUFS8,10,4728,4728,1,4.617647059,Clustered,4728,FALSE,1.537149176
160,NHP2,NHP2,34,55651,55651,3,19.5106383,Clustered,55651,FALSE,0.644562625
161,NLE1,NLE1,6,54475,54475,1,4.617647059,Clustered,54475,FALSE,1.372393222
162,NMD3,NMD3,7,51068,51068,4,3.285714286,Clustered,51068,FALSE,1.463638734
163,NOC3L,NOC3L,9,64318,64318,1,4.617647059,Clustered,64318,FALSE,0.790299969
164,NOL11,NOL11,41,25926,25926,3,19.5106383,Clustered,25926,FALSE,0.634321642
165,NOL6,NOL6,46,65083,65083,3,19.5106383,Clustered,65083,FALSE,1.420787447
166,NOP10,NOP10,3,55505,55505,5,2.264705882,Clustered,55505,FALSE,1.422940983
167,NOP14,NOP14,46,8602,8602,3,19.5106383,Clustered,8602,FALSE,0.849203394
168,NOP2,NOP2,7,4839,4839,4,3.285714286,Clustered,4839,FALSE,1.145046269
169,NPM1,NPM1,8,4869,4869,5,2.264705882,Clustered,4869,FALSE,0.994087986
170,NVL,NVL,5,4931,4931,4,3.285714286,Clustered,4931,FALSE,1.154594323
171,OGDH,OGDH,3,4967,4967,5,2.264705882,Clustered,4967,FALSE,0.611073143
172,ORC2,ORC2,6,4999,4999,1,4.617647059,Clustered,4999,FALSE,1.307128779
173,ORC5,ORC5,6,5001,5001,1,4.617647059,Clustered,5001,FALSE,0.834438172
174,PBRM1,PBRM1,2,55193,55193,7,1.1,Clustered,55193,FALSE,0.977044307
175,PDCD11,PDCD11,46,22984,22984,3,19.5106383,Clustered,22984,FALSE,1.951237785
176,PES1,PES1,32,23481,23481,3,19.5106383,Clustered,23481,FALSE,0.70456999
177,PGD,PGD,3,5226,5226,6,2.047619048,Clustered,5226,FALSE,0.750298528
178,PLRG1,PLRG1,21,5356,5356,2,11.75510204,Clustered,5356,FALSE,0.624877932
179,PMF1,PMF1,2,11243,11243,7,1.1,Clustered,11243,FALSE,0.565328077
180,POLA2,POLA2,7,23649,23649,1,4.617647059,Clustered,23649,FALSE,1.509497057
181,POLD1,POLD1,9,5424,5424,4,3.285714286,Clustered,5424,FALSE,1.386268864
182,POLD2,POLD2,9,5425,5425,4,3.285714286,Clustered,5425,FALSE,1.650499249
183,POLD3,POLD3,6,10714,10714,1,4.617647059,Clustered,10714,FALSE,1.947608598
184,POLR1E,POLR1E,6,64425,64425,6,2.047619048,Clustered,64425,FALSE,1.414467167
185,POP5,POP5,2,51367,51367,5,2.264705882,Clustered,51367,FALSE,0.98540535
186,PRIM1,PRIM1,9,5557,5557,4,3.285714286,Clustered,5557,FALSE,0.628915091
187,PRIM2,PRIM2,8,5558,5558,4,3.285714286,Clustered,5558,FALSE,0.641527497
188,PRPF3,PRPF3,21,9129,9129,2,11.75510204,Clustered,9129,FALSE,1.02319576
189,PRPF31,PRPF31,31,26121,26121,3,19.5106383,Clustered,26121,FALSE,0.971096193
190,PRPF4,PRPF4,22,9128,9128,2,11.75510204,Clustered,9128,FALSE,1.168396994
191,PRPF4B,PRPF4B,2,8899,8899,5,2.264705882,Clustered,8899,FALSE,0.629004116
192,PRPF6,PRPF6,21,24148,24148,2,11.75510204,Clustered,24148,FALSE,0.823327308
193,PRPF8,PRPF8,21,10594,10594,2,11.75510204,Clustered,10594,FALSE,0.585282068
194,PRRC2A,PRRC2A,2,7916,7916,5,2.264705882,Clustered,7916,FALSE,0.857268363
195,PSMA1,PSMA1,7,5682,5682,1,4.617647059,Clustered,5682,FALSE,0.947728644
196,PSMB5,PSMB5,6,5693,5693,1,4.617647059,Clustered,5693,FALSE,0.588153023
197,PSMB7,PSMB7,6,5695,5695,1,4.617647059,Clustered,5695,FALSE,0.582606881
198,PSMD3,PSMD3,3,5709,5709,9,1.333333333,Clustered,5709,FALSE,0.555790996
199,PSMD4,PSMD4,9,5710,5710,1,4.617647059,Clustered,5710,FALSE,3.032016643
200,PTBP1,PTBP1,21,5725,5725,2,11.75510204,Clustered,5725,FALSE,0.610109912
201,RAD51,RAD51,7,5888,5888,4,3.285714286,Clustered,5888,FALSE,0.559235038
202,RAD51C,RAD51C,5,5889,5889,4,3.285714286,Clustered,5889,FALSE,0.894763559
203,RAD9A,RAD9A,2,5883,5883,6,2.047619048,Seed,5883,FALSE,0.764344646
204,RAD9B,RAD9B,4,144715,144715,5,2.264705882,Clustered,144715,FALSE,0.607393155
205,RAE1,RAE1,3,8480,8480,5,2.264705882,Clustered,8480,FALSE,1.193201543
206,RBBP8,RBBP8,4,5932,5932,5,2.264705882,Clustered,5932,FALSE,0.648076029
207,RBM19,RBM19,3,9904,9904,5,2.264705882,Clustered,9904,FALSE,1.091572159
208,RBMX,RBMX,24,27316,27316,2,11.75510204,Clustered,27316,FALSE,0.593841794
209,RCL1,RCL1,46,10171,10171,3,19.5106383,Clustered,10171,FALSE,1.755862975
210,RFC3,RFC3,4,5983,5983,5,2.264705882,Clustered,5983,FALSE,1.343995804
211,RFC4,RFC4,8,5984,5984,4,3.285714286,Clustered,5984,FALSE,1.572888398
212,RFC5,RFC5,8,5985,5985,1,4.617647059,Clustered,5985,FALSE,0.718364175
213,RIBC1,RIBC1,2,158787,158787,7,1.1,Clustered,158787,FALSE,0.760574805
214,RIOK1,RIOK1,33,83732,83732,3,19.5106383,Clustered,83732,FALSE,0.605016442
215,RIOK2,RIOK2,34,55781,55781,3,19.5106383,Clustered,55781,FALSE,0.995427396
216,RPA1,RPA1,7,6117,6117,5,2.264705882,Clustered,6117,FALSE,0.686381689
217,RPF1,RPF1,30,80135,80135,3,19.5106383,Clustered,80135,FALSE,0.592234499
218,RPF2,RPF2,3,84154,84154,8,1.777777778,Clustered,84154,FALSE,0.653110519
219,RPL11,RPL11,11,6135,6135,1,4.617647059,Clustered,6135,FALSE,0.954271089
220,RPL28,RPL28,9,6158,6158,1,4.617647059,Clustered,6158,FALSE,0.748737809
221,RPL36A,RPL36A,6,6173,6173,4,3.285714286,Clustered,6173,FALSE,0.915462534
222,RPL36A-HNRNPH2,RPL36A-HNRNPH2,3,100529097,100529097,1,4.617647059,Clustered,100529097,FALSE,0.976793651
223,RPP30,RPP30,32,10556,10556,3,19.5106383,Clustered,10556,FALSE,1.802429341
224,RPP40,RPP40,31,10799,10799,3,19.5106383,Clustered,10799,FALSE,1.061146516
225,RPS17,RPS17,7,6218,6218,4,3.285714286,Clustered,6218,FALSE,0.835315843
226,RPS27,RPS27,3,6232,6232,6,2.047619048,Clustered,6232,FALSE,1.25502172
227,RPS28,RPS28,36,6234,6234,3,19.5106383,Clustered,6234,FALSE,0.554242049
228,RPS8,RPS8,39,6202,6202,3,19.5106383,Clustered,6202,FALSE,0.907015996
229,RRM2,RRM2,3,6241,6241,5,2.264705882,Clustered,6241,FALSE,0.775147473
230,RRP12,RRP12,4,23223,23223,5,2.264705882,Clustered,23223,FALSE,0.800368614
231,RRP15,RRP15,5,51018,51018,1,4.617647059,Clustered,51018,FALSE,0.5617364
232,RRP9,RRP9,46,9136,9136,3,19.5106383,Clustered,9136,FALSE,1.228512444
233,RRS1,RRS1,10,23212,23212,1,4.617647059,Clustered,23212,FALSE,1.225770107
234,SART1,SART1,22,9092,9092,2,11.75510204,Clustered,9092,FALSE,0.549126591
235,SDAD1,SDAD1,5,55153,55153,4,3.285714286,Clustered,55153,FALSE,2.020222616
236,SETD1A,SETD1A,4,9739,9739,6,2.047619048,Clustered,9739,FALSE,0.656892012
237,SF3B2,SF3B2,21,10992,10992,2,11.75510204,Clustered,10992,FALSE,0.625302616
238,SF3B3,SF3B3,21,23450,23450,2,11.75510204,Clustered,23450,FALSE,1.104096679
239,SF3B5,SF3B5,20,83443,83443,2,11.75510204,Clustered,83443,FALSE,1.15458148
240,SKA1,SKA1,3,220134,220134,5,2.264705882,Clustered,220134,FALSE,0.787941535
241,SMARCC1,SMARCC1,4,6599,6599,10,1.6,Clustered,6599,FALSE,1.779489784
242,SMARCE1,SMARCE1,3,6605,6605,10,1.6,Clustered,6605,FALSE,3.026541665
243,SMNDC1,SMNDC1,20,10285,10285,2,11.75510204,Clustered,10285,FALSE,1.669850834
244,SNAI1,SNAI1,3,6615,6615,4,3.285714286,Clustered,6615,FALSE,1.368685501
245,SNAPC3,SNAPC3,6,6619,6619,5,2.264705882,Clustered,6619,FALSE,0.54162818
246,SNRPD1,SNRPD1,21,6632,6632,2,11.75510204,Clustered,6632,FALSE,0.894625466
247,SNRPD3,SNRPD3,22,6634,6634,2,11.75510204,Clustered,6634,FALSE,0.677189515
248,SNRPG,SNRPG,20,6637,6637,2,11.75510204,Clustered,6637,FALSE,0.771327148
249,SRFBP1,SRFBP1,2,153443,153443,8,1.777777778,Clustered,153443,FALSE,1.076963779
250,SRRM1,SRRM1,21,10250,10250,2,11.75510204,Clustered,10250,FALSE,0.518954707
251,SS18,SS18,3,6760,6760,6,2.047619048,Clustered,6760,FALSE,0.733276534
252,SUPT20H,SUPT20H,7,55578,55578,4,3.285714286,Clustered,55578,FALSE,3.647426363
253,SUPT7L,SUPT7L,7,9913,9913,4,3.285714286,Clustered,9913,FALSE,1.121646909
254,SURF6,SURF6,5,6838,6838,4,3.285714286,Clustered,6838,FALSE,0.82273143
255,SUZ12,SUZ12,7,23512,23512,6,2.047619048,Clustered,23512,FALSE,0.538296797
256,TADA1,TADA1,7,117143,117143,4,3.285714286,Clustered,117143,FALSE,2.926265159
257,TADA2B,TADA2B,8,93624,93624,4,3.285714286,Clustered,93624,FALSE,1.158430916
258,TADA3,TADA3,9,10474,10474,4,3.285714286,Clustered,10474,FALSE,1.778554905
259,TAF1A,TAF1A,5,9015,9015,5,2.264705882,Seed,9015,FALSE,0.544746641
260,TAF1C,TAF1C,4,9013,9013,5,2.264705882,Clustered,9013,FALSE,0.582581658
261,TAF5L,TAF5L,7,27097,27097,4,3.285714286,Clustered,27097,FALSE,1.495592714
262,TAF6L,TAF6L,7,10629,10629,4,3.285714286,Clustered,10629,FALSE,3.452324792
263,TBL3,TBL3,46,10607,10607,3,19.5106383,Clustered,10607,FALSE,0.611602911
264,TBP,TBP,11,6908,6908,5,2.264705882,Clustered,6908,FALSE,0.542055974
265,TCF3,TCF3,2,6929,6929,7,1.1,Clustered,6929,FALSE,1.164530921
266,TEX10,TEX10,34,54881,54881,3,19.5106383,Clustered,54881,FALSE,1.465677573
267,TFDP1,TFDP1,2,7027,7027,11,1,Clustered,7027,FALSE,0.659925678
268,TIMELESS,TIMELESS,2,8914,8914,6,2.047619048,Clustered,8914,FALSE,1.014370745
269,TUBG1,TUBG1,9,7283,7283,4,3.285714286,Clustered,7283,FALSE,0.726832113
270,TUBGCP4,TUBGCP4,6,27229,27229,4,3.285714286,Clustered,27229,FALSE,1.215814218
271,TUBGCP5,TUBGCP5,6,114791,114791,4,3.285714286,Clustered,114791,FALSE,0.595146261
272,UBE2E1,UBE2E1,7,7324,7324,1,4.617647059,Clustered,7324,FALSE,0.927101755
273,UTP14A,UTP14A,46,10813,10813,3,19.5106383,Clustered,10813,FALSE,0.603290626
274,UTP20,UTP20,44,27340,27340,3,19.5106383,Clustered,27340,FALSE,0.900362538
275,UTP3,UTP3,46,57050,57050,3,19.5106383,Clustered,57050,FALSE,0.955769076
276,UTP6,UTP6,46,55813,55813,3,19.5106383,Clustered,55813,FALSE,1.913530918
277,WDR12,WDR12,31,55759,55759,3,19.5106383,Clustered,55759,FALSE,2.055605553
278,WDR3,WDR3,46,10885,10885,3,19.5106383,Clustered,10885,FALSE,1.090352759
279,WDR46,WDR46,46,9277,9277,3,19.5106383,Clustered,9277,FALSE,0.921310084
280,WDR75,WDR75,46,84128,84128,3,19.5106383,Clustered,84128,FALSE,0.906830769
281,WDR77,WDR77,2,79084,79084,12,1,Clustered,79084,FALSE,0.530222433
282,XPO1,XPO1,5,7514,7514,8,1.777777778,Clustered,7514,FALSE,0.884030087
283,YKT6,YKT6,11,10652,10652,1,4.617647059,Clustered,10652,FALSE,0.558238804
284,ZC3H13,ZC3H13,11,23091,23091,1,4.617647059,Clustered,23091,FALSE,2.035149481
285,ZC3H8,ZC3H8,7,84524,84524,5,2.264705882,Clustered,84524,FALSE,0.994572495
286,ZFC3H1,ZFC3H1,2,196441,196441,9,1.333333333,Seed,196441,FALSE,0.74428212
287,ZNF574,ZNF574,2,64763,64763,1,4.617647059,Clustered,64763,FALSE,0.660655634