"","BD.37_THP1__VEH__R1","BD.38_THP1__VEH__R2","BD.39_THP1__VEH__R3","BD.40_THP1__BRQ__R1","BD.41_THP1__BRQ__R2","BD.42_THP1__BRQ__R3","BD.43_THP1__HU__R1","BD.44_THP1__HU__R2","BD.45_THP1__HU__R3","BD.46_THP1__APH__R1","BD.47_THP1__APH__R2","BD.48_THP1__APH__R3","BD.49_THP1__PMA__R1","BD.50_THP1__PMA__R2","BD.51_THP1__PMA__R3","BD.52_THP1__ROT__R1","BD.53_THP1__ROT__R2","BD.54_THP1__ROT__R3","BD.55_THP1__ROT_HX_U__R1.Hypoxanthine","BD.56_THP1__ROT_HX_U__R2.Hypoxanthine","BD.57_THP1__ROT_HX_U__R3.Hypoxanthine"
"1-methylnicotinamide",0,-1.12211982376885,0.14331013646988,0.463645000550827,0.785589188540392,0.191622604989626,-0.766680270866168,-0.825920226295244,-1.6873915952669,-1.20499621883733,-1.9380415662456,-0.217932485538499,0.618282155336003,0.729746037634433,-1.18884209480479,-0.0952703191027745,0.683189306070809,-0.386542990855263,-0.959678012835233,-0.971774851011544,-1.21895541432279
"2-aminoadipate",0.280890110056919,0,-0.165370201003465,0.57081747479791,0.596830588800607,1.03297363282628,-2.10117334614669,-1.98371284425303,-2.63509023480557,-2.37737872376621,-3.0221698633491,-1.43389606008263,0.565678486129988,0.832732645016931,1.19894152165233,-1.8315673553748,-1.68096217609733,-2.34612140100106,-4.34179488765221,-3.12033943900486,-1.96999027222249
"2-hydroxyglutarate",0.0505457433673125,0,-0.117661731196262,-2.81594461759332,-2.78482208387435,-2.91711239128145,-1.01577838642707,-1.14077220038179,-1.24186542017066,-0.756757127485052,-0.650439743390127,-0.696344589282182,-1.97505893267703,-2.18629686649998,-2.01530084013013,-0.117100694864365,-0.0475074487855712,-0.114416434925057,-0.961427124600209,-0.759497895997674,-0.800289556240618
"2-oxoadipate",0.202577492832258,0,-0.21788260838266,0.16379204542673,0.339038107192694,NA,-0.0624402050280624,0.0387093923130492,0.065951579902466,-0.144733550295919,0.0499819113439047,0.110240551765044,-3.75017698470557,NA,NA,-0.303566494908246,0.0301083126031476,NA,-1.16966529116809,-0.589743218928318,NA
"2,3-BPG",-0.00039146479266021,0,0.158254001299166,-0.439354090599978,0.0271604676455123,-0.200531573944388,-0.291192686877815,-0.305467007853203,-0.384235953144155,-0.503118583116232,-0.406972710980303,-0.439348814922794,-1.52874601643208,-1.42010815493363,-1.40557436265303,-3.50101351907331,-3.49403445948995,-3.51701457888874,-8.57946229164382,-6.32531464716824,-7.40811585069312
"3-phosphoglycerate",0.178782138914747,0,-0.0322748196830092,2.27870254146516,2.50126128699689,2.45254594360292,-0.0968679595725575,-0.389932733972267,-0.496759042948082,-0.386410194707672,-0.504880336996209,-0.465794741096354,0.65291305449271,0.789112946660027,0.851763832675995,-1.48741748481492,-1.48021966022467,-1.47643418352041,-2.34271866735198,-2.14557775506946,-2.41706504589799
"3-ureidopropionate",0.14151813064691,0,-2.53740977007064e-05,0.209183694631718,0.28486788112049,0.381845938711567,0.606718429545392,0.452362660711849,0.546262375374398,0.426029003790593,0.431997511965516,0.637758960101936,-0.132737065444355,-0.0861743348991617,-0.114765219590484,-0.00135613491130009,0.166651739350289,0.243947350366539,-0.269918125320177,-0.0260687874488341,-0.0621715198444099
"6-phosphogluconate",0.28630114916685,-0.0199350269367595,0,1.76816230558228,1.90248753463117,1.82072402231072,-0.00705709850629054,-0.189255653954639,-0.055720516076307,-0.142595028835271,-0.269699062110352,0.108234295436594,0.628325510559201,0.60283976865998,0.695634762282605,-1.76130361474546,-1.82244145245013,-1.74953642818468,-3.05709588026991,-2.66109132995556,-2.8418673666618
"acetyl-CoA",-0.0233550821669906,0.750346513544262,0,1.82198542285472,1.93583042017875,1.0787894830646,1.51938798447172,2.02153180866463,2.89427542772642,2.78276386037025,1.91585456855438,0.991336305094211,1.7558178261835,1.1746494413178,-0.521866377080436,0.404007517825574,0.463056207794392,1.43631059796358,2.48675170234313,-0.328518929422711,2.39386909146603
"acetylcarnitine",0.150307946661066,0,-0.0588682925500441,1.42552077774525,1.55764482200942,1.51243300799675,0.0095268603754353,-0.11841109590427,-0.124265693161598,-0.292943026252639,-0.347765004305702,-0.14662436345283,-0.677089325009117,-0.87375174158333,-0.545105805005704,0.642281082800245,0.761094449769805,0.840142634409543,-0.0754373230137506,0.177158511694354,0.0961876845345942
"adenine",0,-0.104585526867671,0.083382030889027,-0.678608206403258,-0.617095025632317,0.46163621046987,-1.02831731980383,-1.55048439857401,-2.14794080734438,-1.61715960040171,-1.40520141183713,-0.227050060490454,-2.43695504733066,-1.98187499863099,-0.563253451067796,0.0288928601069336,0.9741758334953,-0.389394099470948,-1.71538050877069,0.584842822046522,-1.74198373765523
"adenosine",0.289596473205618,0,-0.166644207062089,0.659219069221526,0.547049413385725,0.871631120595873,0.116504733273332,0.067348249697153,-0.302060683329923,-0.29373647105663,-0.138049702110583,0.274074480655109,0.692807713004082,1.0140280599934,0.992813962718428,0.529931504087471,0.61432460720846,0.764281903575644,0.108612610125382,0.653255503113984,0.0813949795663132
"ADP",0,0.0527716522624613,-0.0982570552788475,0.177535056721468,0.29742400621297,0.316497907127465,-0.00514358672443249,-0.1045499313994,0.0436304959871719,-0.099146407590401,-0.0977361666752419,-0.00128141919874615,-0.135894930441564,-0.112294014081356,-0.0407581367699388,1.35460606206369,1.60169073577914,1.39838782866607,1.31820757233171,1.58600834304642,1.4088079331595
"ADP-ribose",0,-0.171786204893949,0.00566522460018322,1.52565326480422,1.88637082406829,1.81495861198343,0.708185842289351,0.471734486708493,0.537503248998475,0.752278158464477,0.510277735321331,0.552347009294807,1.67742932370808,1.67839924115909,1.65913795629279,1.41580439754729,1.64297928888304,1.12991410353005,2.17125708594741,1.63607337251909,1.85556321464139
"AICAR",0.0960051894672992,0,-0.194639098425395,-5.76990456350714,-5.20219976090004,-5.73682127713661,-7.42592414655728,-6.95663081584033,-7.23246252947325,-3.02338895083364,-2.75603351427432,-2.96205226747627,-8.73584794478859,-8.51604419404648,-6.61149588294669,-3.89438355065634,-4.08730304166937,-4.31556735751739,NA,-8.19341025173963,NA
"alanine",0.139460621289591,0,-0.136468666476122,0.790493312058362,0.919396959688583,0.89780828483935,0.627499335801808,0.600736714708973,0.554958689016217,0.466001598168961,0.608903599154575,0.623638362914196,-0.536725347154833,-0.737975127888779,-0.490418710869337,0.662978777572125,0.809596447474239,0.765518907954469,0.200341126997375,0.43152943532288,0.48923046789441
"alpha-ketoglutarate",0,0.026688095499493,-0.133520759470818,-1.95486525026519,-1.97136498771768,-2.06792730637176,-1.15807758510992,-0.862474126329622,-0.32348620986011,-0.235369553007676,-0.736201240549177,-1.08384335509971,-1.25149529539681,-1.73741156778687,-2.60358926649572,1.74888988287511,1.82601555515903,2.07436651661889,1.6274298057663,1.44258241455527,1.54572973607729
"AMP",0,0.0935071966954364,-0.0853706275331466,-0.357765934237712,-0.291058752797821,-0.239113171104099,-0.345132296069305,-0.551727459358775,-0.189244371428821,-0.419737353853757,-0.550504853805726,-0.319592407978561,-0.446571261700616,-0.199489183777982,-0.18631906864089,2.76169993207501,3.12872547689804,2.86637011388549,2.73471581933077,3.19040878005867,3.0350063235302
"anserine",NA,-0.200359214621613,0.175896497835515,NA,-0.788487871408836,NA,-0.610274873190254,-0.364879537591314,0.168947189294301,0.243985327196447,-0.288807802338657,NA,NA,NA,NA,0.613167799881822,-0.348280916127824,0.406829527201441,-1.36584765322644,0.904534355271742,-0.0323706601080363
"arginine",0.611234343042333,0,-0.144592542880099,1.01415401449652,0.932777086573322,0.936133911032236,0.539407312865776,0.472411215297343,0.385340977543547,0.259025288178564,0.206899613810364,0.338489434805947,1.20237800695997,1.25095337481546,1.07139162538056,1.019348936998,1.0661339002457,1.02745328060616,0.599442462268557,0.873964610028964,0.592029455431341
"argininosuccinate",0.261936165128691,0,-0.178458990058018,-0.127092777218343,-0.0107001897867349,-0.0837611825851745,0.78116382712736,0.762543057881752,0.650927982488202,0.649714833277836,0.819537382212002,0.784955884165384,0.508346505754594,0.41901553931192,0.580535533275732,0.192112637893789,0.305843648868133,0.340489184103589,-0.0176919779455029,0.251372714805496,0.237928537202244
"asparagine",0.14151813064691,0,-2.53740977007064e-05,0.209036914511775,0.281604025646641,0.38042054471688,0.598843279201004,0.451251734765029,0.53641096621485,0.411326337191929,0.431997511965516,0.633959064990713,-0.143481300820332,-0.104821047787256,-0.130609352853493,0.0575426582616155,0.162011191210664,0.238004408152978,-0.277376915479286,-0.0260687874488341,-0.063784317478935
"aspartate",0.586751816647021,0,-0.171897390636209,3.08061907334558,3.18863906262542,3.22963833338756,0.027327426306685,-0.0194566319257499,-0.0335419988848629,-0.197388163202974,-0.0413904173799436,-0.0425874682426429,0.93474115353183,0.741529694787772,0.963309402053965,-2.8776958014094,-2.95671422175591,-2.80609148555832,-3.27120881003285,-3.02194050318866,-3.03062412711015
"ATP",0.0319490220379241,0,-0.00557471660108553,0.674699075442395,0.869514896275523,0.856707034557516,0.185312262994306,0.105477380187751,-0.0377094684535948,0.00585792466266163,0.141182032329071,0.0789430659201692,-0.391516552963691,-0.415983820321093,-0.422863436867991,-0.471913580033421,-0.217859699986279,-0.522373771595788,-0.588912602295174,-0.218642210908051,-0.729468089930357
"beta-alanine",0.137443240367029,0,-0.138479968052277,0.788482010482207,0.917385658112428,0.898829591827713,0.625488034225652,0.598725413132818,0.552929704820392,0.466028500518792,0.60689229757842,0.62162706133804,-0.538736648730989,-0.739986429464934,-0.492430012445492,0.663035413648807,0.810166156228235,0.766198536228821,0.198329825421219,0.431712929308269,0.487219111946235
"betaine",0.776475416398615,-0.00126807049273571,0,NA,0.927449044137998,-0.0128755710476365,0.993316868816703,0.464264321549079,0.726197103260344,0.331918922095123,0.20550048457106,NA,0.478392969079248,-0.157846462664073,-0.208964098346692,0.223090754959624,0.634910065542148,0.28081140332581,NA,-3.37777781759878,NA
"butyryl_carnitine",0.107221260748604,NA,-0.115834365804714,0.37249875285986,0.335790093276499,0.428748371142961,NA,NA,0.461897526569104,0.0274550705786153,0.0339799502856459,0.333410937329278,-1.17698108364482,-1.36644354973832,-1.03995574042685,-1.13754708200957,-0.989508711447039,-0.919324956799477,-1.48526703973675,-1.24991085544686,-1.29587997856683
"C5_carnitines",0,-0.142197571082377,0.00299007500385224,-1.14157407282879,-1.09691815549679,-1.4001677831057,0.481968288305332,0.240005002289237,0.474638254083403,0.174269110891198,0.268418966907292,0.480087582386079,-1.11453920891673,-1.07172818914133,-0.835230024152729,-2.50071780036765,-2.51691510022568,-1.97600218596409,-2.0354564789619,NA,-1.95814170213141
"carbamoyl_aspartate",1.70409764041374,0,-3.07173201107016,4.54232766892197,4.64736684534411,4.61047616543587,-4.32167239321132,-4.2390428473563,-4.64353506679901,-3.88830559897179,-3.89184818262485,-3.97608135618755,-7.46050469084474,-7.70145884921107,-7.54532501783329,-9.24473005516082,-9.2093867617925,-9.557688382162,-13.0103655561841,-11.6207445829405,NA
"carnitine",0.0130327561479636,0,-0.07174120985459,-0.807506719228825,-0.707201336973747,-0.688389154135976,0.392538443955896,0.259217010039929,0.300717168424554,-0.180304640352732,-0.177996801000859,0.0617009465040427,-0.560600164492958,-0.780958693354084,-0.377625182680978,0.60450189882711,0.80020421565993,0.82983104991701,0.176063613602713,0.476282742547942,0.39483435246182
"carnosine",0.139723297009661,-0.176574450201345,0,1.11637166946535,0.777061082679117,0.681986668595772,0.832861702157373,0.468152851930685,0.69978311712473,0.287298120929469,0.245948224244392,0.329148490759482,-0.559056273857777,-0.898995415870484,-0.537870031829062,0.682248119160854,0.886163745864534,0.640586430114134,-0.31003159948438,0.237744794955235,0.269099023707698
"CDP",0,0.128098846075547,-0.0307739538857337,-3.76819062076207,-3.59298929357935,-3.54701587998007,-0.260699688971957,-0.332649762090431,-0.0539901202637246,-0.425534223079958,-0.474820969604306,-0.297240944865871,-0.722091464222538,-0.69355343456898,-0.584175275632333,1.20915537741007,1.57298845592162,1.41271714039969,1.6061325972775,1.98929918482271,1.64447074402301
"choline",0.257836826744013,0,-0.345977661972274,1.55502102782013,1.76923075559833,1.86491791405848,0.581400509187481,0.734393795569015,0.638796465059547,-0.0455785656974618,0.619019916422492,0.0586659431706738,1.05339314057507,0.345542237806922,1.09911855153317,0.771470456291027,0.989535456576499,0.833358164679593,-0.545147154009842,-0.0207427076850549,0.373052980887772
"cis-aconitate",-0.060607706825244,0,0.00176977300689205,-1.1463205071761,-1.02665250161481,-1.08202469932524,-0.0667337204955843,-0.0820835102132745,-0.326075762200617,-0.035578661191692,0.119250047502512,0.169267272513244,0.387213369733332,0.464767354867251,0.37920827433438,-1.29082384413534,-1.16680868769233,-1.6005872291146,-2.27595526967546,-1.94785327184744,-2.37111539170723
"citrate",0,0.0270669063977248,-0.0136177419544187,-0.851237491269502,-0.642275434224631,-0.682803804005286,0.109243536570126,-0.0847728799884839,-0.228982396017025,-0.014651694036399,-0.0165010564573499,0.063062673143543,0.219989967791152,0.263084608556176,0.245762838622782,-0.922682974796362,-0.781945002517359,-1.1846425437257,-1.74685048114103,-1.50133493546567,-1.91383289472556
"citrulline",0,-0.0661749273527997,0.0390147332527759,-0.0357155202726045,0.997021785621048,0.59759167116933,0.71282736993803,0.66901822613967,0.629952137445905,0.349515963552974,0.635942327530369,0.568175784788004,4.79786180403442,4.6735826081903,4.98100867144741,1.73438969544107,1.78784519518864,1.85526787107814,1.05345429536948,1.14927116555146,1.13947348534179
"CMP",0,0.197295141729328,-0.0123459700344822,-1.38646712285086,-1.34672175013489,-1.11061619301255,-0.165966321148111,-0.280479735795323,0.163019714142494,-0.425344329142286,-0.319162972874601,-0.18021713070205,-0.00835928685805382,0.041583935288261,0.299353970554238,2.37430462303632,2.56480568072025,2.38076250995872,2.59899957591912,2.94533276894367,2.81406754449359
"creatine",0.135237501237242,0,-0.16959955736525,0.87156123026217,0.999063848724355,0.934709866812753,0.209004634001216,0.124577139349663,0.0560725881045297,0.0285144439279365,0.147842008350157,0.115945724927923,-0.878852071997246,-1.20587606635804,-0.77960915247962,0.785471101077868,0.914973949843253,0.834865326413795,0.243311243127297,0.512758682220625,0.566769357620921
"creatinine",0.167683046070998,0,-0.0929332376185818,1.50654728789657,1.52846589049003,1.24649490080663,0.830539827840694,1.16537348253603,1.87604079832972,1.5020821020587,0.957799885110246,0.706729870235368,0.97783845677895,0.319561339283489,-0.0892594820158476,1.02598689038166,1.03910563489815,1.55660196151256,2.02145629043789,1.05122484908552,2.07670703789446
"CTP",-0.148881107203398,0,0.00977659264513737,-3.77818856426421,-3.5545425525682,-3.79315011275244,0.247790933456084,0.211701041545767,-0.000474437344393373,-0.0917846454418823,-0.0315000616979561,-0.0266501170525858,-0.234629871785373,-0.316611762029764,-0.321577328909363,-1.05800240952727,-0.867795330284166,-1.21986070398647,-0.784690469565168,-0.434827552016154,-1.15056675262658
"cystathionine",-0.034676246123006,0,0.118419585888771,-1.45401714124782,-1.42860085827272,-0.976099649168324,1.05930315111561,1.16571132317942,1.40089834030257,0.132488625727495,0.416093710345741,0.675318817985391,-2.30842099356772,-2.62473617819657,-2.07226305740529,1.60683385843326,1.84015363915001,2.05207731160768,1.09729212010862,1.49465763899625,1.60218751493923
"cystine",1.39161668928439,0,-0.975468382426401,0.20608311811167,-0.911055646205424,-2.73461709101305,3.47324829005276,2.79394544104581,2.5850720421835,3.13970728153778,2.3934440680449,1.58542093645813,3.34167236285652,2.98564792435228,NA,1.10805462823316,0.375025868819742,0.386549664814773,2.26295228113394,-0.111557812646575,0.535811639854826
"cytidine",0,0.143202524849504,-0.122679727217977,-0.643354678033801,-0.495780643601426,-0.501745219963748,1.77643574850584,1.70207438438625,3.03072273224739,1.52804433916407,1.60657260495245,1.64532680328731,2.69003813979599,2.75066636888942,2.7690683470274,0.108330286087594,0.44753758679909,0.413407417573694,3.22551818356659,3.59890037859166,3.44605618898018
"cytosine",0.453000153359539,-0.0908087579562589,0,-0.508364327361904,-0.0378591921877211,-0.633826942673444,0.753208415823225,0.827089137850714,1.9223761058667,0.784775069131138,0.834900254120282,0.815595641327664,1.59917558320759,1.79232308162402,1.86183970896203,0.269140879269128,0.383751267227933,0.178774955839352,2.09529242433567,2.4868663090024,2.41612846099825
"dADP",0,0.0987027814208063,-0.105302925785931,0.257882099001572,0.348717927989235,0.602655874309561,-1.65688895759853,-1.66548589554187,-1.6985708769069,0.295585901935059,0.0308746464019665,0.226597532520651,-3.94006530991779,-3.71256316960882,-3.47915983857882,1.93261792492507,2.30845183233341,1.98319152635917,1.2184693253857,1.49655330025255,1.2816467573942
"dAMP",0,0.0682084700811153,-0.27490597937682,4.43532310801266,0.564096855749043,0.314495670563715,-1.84601301311522,-3.09515499746187,-1.613414013739,-0.37600949649379,0.165801572797672,-0.12155195417605,NA,-5.64380016454602,-5.36842638559435,2.3327272486132,2.8186900629397,2.33822157194347,1.78595472441309,2.27244062225098,1.84640331421149
"dATP",0.0712217774188244,0,-0.0405749528088386,0.592626575059604,0.622257717597375,0.592124029610322,-1.36359448298879,-1.41555730464966,-1.76485911999977,0.519136080002742,0.590782003223088,0.583859964604443,-3.63567168182463,-3.90292371717108,-3.6803688420392,-0.0659502178264427,0.0891945404034611,-0.202775730594884,-0.738860029131432,-0.520406974490236,-1.07462746349676
"dCDP",0,0.12038455394839,-0.313852756417246,NA,NA,NA,-0.525983217212215,-0.21967932081553,-0.458774781607255,-1.02166714475161,-1.36308278365736,-0.414435896388056,NA,-3.83116965062202,NA,1.53452425270935,1.80022920300828,2.04869036915681,1.88838276250467,2.27371655464785,2.06838244934538
"dCMP",0,0.222179406992251,-0.22812921110722,-0.352504864509655,0.108253129032219,-0.169389182314338,-0.283567949783684,-0.0658032882169444,-0.827092527134052,-0.884426987094199,-0.678480850746838,-1.24011414649134,-1.78502951327123,-3.31483224853458,-2.5168477458194,0.516630959683794,1.25601030141432,-1.82807100049372,-1.61448394013966,-1.86088382730999,-1.12699022621572
"dCTP",0.117448211410274,0,-0.0796612100548046,-1.34669959613418,-1.31098885705852,-1.61068139283142,0.704202196213643,0.600977845247316,0.308255225584633,0.340264457227488,0.266696992621455,0.304165503333209,-2.4227628350593,-2.42521218577606,-2.42645222962279,-0.526455588856087,0.0403206745891888,0.0661851106525062,-0.00903875351615847,0.300719102305141,-0.131145523192475
"dihydroorotate",2.36414225909688,0,-5.11017011936188,5.5129022411689,5.55497103275259,5.60548878287333,-4.44335051996082,-4.02222720629477,-4.73425902432995,-5.31048947232275,-5.04831144857051,-5.00549289226484,-6.50695364510798,-7.61388421272985,-6.61195597820658,-5.89819902489229,-5.993891740022,-6.51596102685589,-7.02988333842262,-6.45446470400968,-6.52551327824036
"dihydroxyacetone_phosphate",-0.132435578823086,0,0.183593557435864,1.98151498542681,2.2263385861834,1.65007245096734,0.639709642542677,0.433804548557904,0.759526491805229,0.443901511202703,0.721923351097535,-0.111262208689289,1.97139043976426,1.95667900960651,0.586108288617625,-1.75775445011242,-1.71324540826838,-1.25051103119161,-1.3654856787065,NA,-1.78819045983032
"dTDP",0,0.00144422631471905,-0.256659458313688,NA,NA,NA,-0.607025022985514,-1.21364733546646,-0.600063174690679,0.479912275639063,0.0808086789400091,0.227447815806349,NA,NA,NA,1.28952179283019,1.3339797347521,1.1014359885798,1.34280985898683,1.45146815240463,1.3501565440097
"dTMP",0,0.120825778083824,-0.059198787692255,-4.24978943670436,-4.38312053515106,-4.26629438212427,-2.81611023241305,-3.06416684777683,-2.71266167370275,1.14736895136498,1.40326367795885,1.34119207140597,-4.5899189795116,-4.60062680802769,-4.21912775595766,-1.34654274006923,-1.01756192504621,-1.48166453353216,-1.71266428076824,-1.32721055889115,-1.44982296939896
"dTTP",-0.186007215586761,0,0.22860331049449,-2.57609566177797,-2.22540603636627,-2.20205454099399,0.0146972334825603,-0.0350671886602062,-0.0839356720300104,1.04082256024033,1.06571267958395,1.41274788421854,-2.72365361861171,-2.65911476460404,-2.81195979906428,-0.691008557570095,-0.346045707912433,-0.536238552761368,-0.607325293369012,-0.0814999832963031,-0.724395466293828
"dUMP",-0.110343316821778,0.181936894081505,0,-1.69748856720344,-1.07702998883849,-1.70133251102161,-2.14042307027955,-2.22504743132181,-1.65629305907832,1.4082395817557,1.49184765912745,1.67878670963236,0.370293047857818,0.269056728557027,0.498179183470058,-1.6260658614891,-1.64073265817477,-1.54298484345726,-3.77053415719594,-3.01420588115988,-3.06638887109615
"erythrose_4-phosphate",0,NA,NA,3.18746235952056,3.09832532102465,-0.217322544972456,NA,-1.34016497934427,-2.23800414823507,-2.27179914200977,NA,-2.43940068321433,-0.862600902148911,NA,-1.82432242228073,1.373963098712,0.825951613244813,-1.39875303949372,NA,NA,-0.36139618419996
"F6P_G1P",0,0.0345595558651816,-0.0751426024211986,1.79402157192583,1.73423525314155,NA,-0.597051950350075,0.0518626632786102,0.107728812997284,-0.359554644759169,-0.309396921208256,-0.140787286303236,0.651227888174708,0.556408225364017,0.547721149510193,0.381993505296499,0.455341459974838,0.462327605598818,-0.509792007602142,-0.2485303266836,-0.347358229154473
"folate",-0.0225058445162137,0,0.238138468992162,1.00068161465757,0.856233690001015,0.981673878167854,-0.153559666128022,0.0923691517630394,0.108439875749935,-0.344881366590075,-0.357594706915835,0.0750535593687916,1.91550259940062,2.22931675270169,1.7195323349504,1.67695439502991,1.69765553774413,1.810635057919,1.25695434751252,1.6735843153475,1.39434422949938
"fructose_1,6-bisphosphate",-0.162229072075407,0,0.00291357874853763,0.872889522634381,0.959586095922368,0.942629746134108,0.0820621371605869,-0.0908899329315914,-0.143945335746533,-0.245146541545431,-0.281663499841086,-0.294425295314912,0.532353926210443,0.610934096771128,0.690207048061858,-0.268023519068764,-0.0726013562857373,-0.122320891903602,-0.723052093225966,-0.462952039404689,-0.648776833939903
"fumarate",0.100195297287078,0,-0.256465631582611,1.14592907680906,1.31591487552738,1.35591407369471,0.0790788977720264,0.0323065712039845,0.0353258497434628,-0.133281184681841,-0.00279287341514575,0.0048366126923836,-0.363717516555937,-0.512442300406715,-0.249020388285146,-0.521768597525752,-0.343340570131716,-0.419797332622901,-0.679442435484475,-0.443791142011277,-0.477862626187725
"GDP",0.00385100580573207,0,-0.155640359688521,0.283066579825642,0.356864437054744,0.409090409978408,-0.228775281211748,-0.260458920008262,-0.201197851683513,-0.207325181416804,-0.293788483198647,-0.170401370515909,-0.194827183932917,-0.143774389349209,-0.0901951534693964,1.7845979930036,2.09432731216006,1.86220219028724,1.18286745581293,1.46434619478262,1.21326849505275
"glucose",0.61383193500952,0,-1.13784416579711,0.835134319130333,1.5371379948638,1.25238626445218,0.115740476022598,-0.620395769452246,-0.44577673832086,-0.363093862604036,-0.223491777827001,0.506515894914562,1.08784752596596,0.997317035370503,0.645946502335068,0.418890508178867,-0.586158421451923,-1.25367939941322,-1.10727588304029,-0.680268832622521,-1.18743669355926
"glutamate",0.0227719520775551,0,-0.0645816823884725,-1.2344755311312,-1.1310577619425,-1.11112052036892,-0.302873332179207,-0.338941755544425,-0.353189782869954,-0.265564977032755,-0.148805640834092,-0.0786926561413534,-0.353351680122829,-0.494900023800327,-0.221494307698568,-0.676883783166075,-0.593920563637107,-0.529235675967348,-0.8701348587645,-0.605448072493939,-0.590829101135619
"glutamine",0.142316571088072,0,-0.0853720509297155,-0.344799636479424,-0.314234040648959,-0.26746368420846,0.102333345111395,-0.0045037740407535,0.0128809058020811,-0.0405528470604051,0.0358475174107126,0.0506794222060901,-0.431824677342354,-0.41891285419246,-0.492696962872418,0.356658310693211,0.461163547586377,0.507875642454763,0.0203861949929146,0.270309403960781,0.179070489844095
"glyceraldehyde_3-phosphate",-0.00104321252375449,0.00665416295537555,0,-0.221133073512059,-0.097952767567609,-0.149553595855522,0.0497445097541618,-0.00104321252375449,-0.09027258445696,-0.197265091396265,-0.203818071021558,-0.0335900518289941,-0.28279883978231,-0.4725624391873,-0.120812151245473,-0.314603347785284,-0.155368963348921,-0.0728933055035168,-0.575088779511178,-0.20308469933413,-0.294799263857462
"glycerol_3-phosphate",-0.157658194052029,0,0.0144682189079153,-2.4039588556931,-2.22867640616334,-2.35131696592957,-0.568054688426223,-0.813440742619857,-0.69522932616276,-0.593257319234722,-0.698104337794268,-0.519743862604849,-0.74446886345218,-1.0704297281059,-0.68095999617464,-4.14419844490211,-4.19448385213011,-4.03137127397218,-4.10241665088244,-4.28291684508545,-4.00116182504856
